Sl. No.,State/UT,5th Instalment (April 2020 to July 2020) - No. of Beneficiaries,5th Instalment (April 2020 to July 2020) - Amount Disbursed (in Rs. Cr.),6th Instalment (August 2020 to November 2020) - No. of Beneficiaries,6th Instalment (August 2020 to November 2020) - Amount Disbursed (in Rs. Cr.),7th Instalment (December 2020 to March 2021) - No. of Beneficiaries,7th Instalment (December 2020 to March 2021) - Amount Disbursed (in Rs. Cr.),8th Instalment (April 2021 to July 2021) - No. of Beneficiaries,8th Instalment (April 2021 to July 2021) - Amount Disbursed (in Rs. Cr.),9th Instalment (August 2021 to November 2021) - No. of Beneficiaries,9th Instalment (August 2021 to November 2021) - Amount Disbursed (in Rs. Cr.),10th Instalment (December 2021 to March 2022) - No. of Beneficiaries,10th Instalment (December 2021 to March 2022) - Amount Disbursed (in Rs. Cr.),11th Instalment (April 2022 to July 2022) - No. of Beneficiaries,11th Instalment (April 2022 to July 2022) - Amount Disbursed (in Rs. Cr.),12th Instalment (August 2022 to November 2022) - No. of Beneficiaries,12th Instalment (August 2022 to November 2022) - Amount Disbursed (in Rs. Cr.),13th Instalment (December 2022 to March 2023) - No. of Beneficiaries,13th Instalment (December 2022 to March 2023) - Amount Disbursed (in Rs. Cr.),14th Instalment (April 2023 to July 2023) - No. of Beneficiaries,14th Instalment (April 2023 to July 2023) - Amount Disbursed (in Rs. Cr.),15th Instalment (August 2023 to November 2023) - No. of Beneficiaries,15th Instalment (August 2023 to November 2023) - Amount Disbursed (in Rs. Cr.),16th Instalment (December 2023 to March 2024) - No. of Beneficiaries,16th Instalment (December 2023 to March 2024) - Amount Disbursed (in Rs. Cr.),17th Instalment (April 2024 to July 2024) - No. of Beneficiaries,17th Instalment (April 2024 to July 2024) - Amount Disbursed (in Rs. Cr.),18th Instalment (August 2024 to November 2024) - No. of Beneficiaries,18th Instalment (August 2024 to November 2024) - Amount Disbursed (in Rs. Cr.),19th Instalment (December 2024 to March 2025) - No. of Beneficiaries,19th Instalment (December 2024 to March 2025) - Amount Disbursed (in Rs. Cr.)
1,Andaman and Nicobar Islands,15971.0,3.26,16254.0,3.25,16109.0,3.22,16086,3.34,15593,3.13,15089.0,3.07,14952.0,3.05,14309,2.88,13046.0,2.63,13098,2.68,3620,0.93,12289,4.9,12546,2.8,12832.0,2.8,12987.0,2.78
2,Andhra Pradesh,4757732.0,995.23,4690575.0,953.22,4536383.0,916.68,4463029,1037.32,4428728,917.56,4461405.0,952.92,4400711.0,932.61,4151020,1047.34,4074033.0,980.85,4136680,996.68,3956937,893.3,4076365,924.04,4140573,875.56,4122499.0,836.36,4127619.0,854.28
3,Arunachal Pradesh,89275.0,19.01,90143.0,18.35,91858.0,19.41,91869,18.95,92730,18.75,93002.0,18.98,94712.0,21.68,93726,18.8,60678.0,12.61,68867,16.21,54805,12.88,80100,18.94,67613,18.55,90470.0,25.6,94948.0,22.63
4,Assam,1896670.0,380.23,1247617.0,249.52,1393366.0,321.13,1292543,305.61,927709,340.7,1094394.0,288.1,882152.0,192.22,489138,161.38,615136.0,221.6,875773,281.61,1215892,487.61,1631142,589.48,1814323,425.92,1887572.0,403.52,2087406.0,475.09
5,Bihar,6955360.0,1466.06,7538397.0,1574.11,7680555.0,1561.21,7924949,1645.21,8094051,1658.68,8263515.0,1733.0,8305363.0,1710.25,8167341,1648.58,7372112.0,1493.8,7569397,1580.74,7223746,1605.95,7565165,1705.67,7655844,1598.94,7581016.0,1544.52,7590575.0,1592.77
6,Chandigarh,430.0,0.09,430.0,0.09,402.0,0.08,386,0.08,378,0.08,389.0,0.09,367.0,0.08,5,0.0,307.0,0.12,134,0.03,275,0.09,340,0.12,349,0.08,,,,
7,Chhattisgarh,2479764.0,554.23,2640364.0,554.15,2917728.0,624.43,2849560,625.13,3024437,665.16,2772179.0,630.5,2739785.0,696.1,2037413,474.31,1994017.0,453.31,2024666,450.56,2154232,576.03,2320638,580.31,2431803,577.36,2507751.0,570.0,2594151.0,598.96
8,Delhi,13331.0,2.76,14045.0,2.89,13690.0,2.88,13975,3.1,14490,3.01,14618.0,3.06,14887.0,3.29,12409,2.5,12659.0,2.65,12931,2.77,8302,1.97,10240,3.22,10808,2.51,10829.0,2.26,11084.0,2.47
9,Goa,8339.0,1.81,9145.0,1.94,8762.0,1.82,9263,2.08,9127,1.85,8879.0,1.8,8541.0,1.96,6638,1.35,5949.0,1.43,5664,1.21,5982,1.37,6263,1.76,6322,1.36,6333.0,1.33,6381.0,1.33
10,Gujarat,5295260.0,1146.04,5567092.0,1147.08,5402201.0,1087.58,5544114,1184.48,5605182,1164.8,5842177.0,1250.98,5880275.0,1204.85,5187489,1056.13,4379256.0,909.17,4517889,961.4,4235547,1044.61,4640942,1203.53,4845936,1084.42,4912366.0,1038.73,5134410.0,1146.43
11,Haryana,1687059.0,379.11,1825205.0,387.72,1842852.0,385.43,1741136,362.37,1845868,397.42,1865794.0,386.82,1841469.0,391.1,1314816,264.26,1469385.0,331.04,1539264,344.22,1384970,323.07,1518314,375.33,1587993,362.17,1599896.0,342.28,1637141.0,359.89
12,Himachal Pradesh,890915.0,182.9,909924.0,185.15,904003.0,181.39,908857,186.42,936726,191.01,941413.0,192.75,942139.0,198.16,572313,115.16,670404.0,156.88,739077,177.59,715976,169.91,771356,185.73,806655,190.48,817540.0,171.89,830495.0,178.31
13,Jammu and Kashmir,1027714.0,209.08,1112826.0,248.76,1128531.0,233.07,871763,187.39,879843,183.43,1097307.0,294.53,1092694.0,252.3,432237,88.19,667414.0,188.13,732042,176.66,765561,180.01,825687,215.14,853716,192.52,858653.0,182.64,880247.0,201.07
14,Jharkhand,1518919.0,439.33,2277847.0,504.85,2255878.0,460.33,1590306,391.3,1628564,361.43,1659896.0,376.96,2225576.0,717.16,1274727,350.36,1176905.0,260.26,1302856,318.79,1259786,381.94,1618076,839.79,1842849,633.38,1997392.0,546.02,1983858.0,650.36
15,Karnataka,5114512.0,1033.93,5219763.0,1061.53,5281757.0,1063.26,5177909,1071.24,5213008,1092.11,3453252.0,709.48,4920226.0,1300.7,5005179,1069.08,4847557.0,1044.33,4934535,1017.44,4378004,966.43,4434072,979.51,4304824,958.27,4348125.0,941.85,4395092.0,897.9
16,Kerala,3001875.0,682.63,3352809.0,713.79,3464880.0,717.93,3357696,694.42,3482013,739.32,3545255.0,752.43,3462020.0,707.36,2001853,406.79,2129986.0,485.22,2341004,554.16,2350849,662.25,2648060,689.25,2757444,637.26,2815234.0,597.95,2878013.0,636.28
17,Ladakh,14078.0,3.23,13679.0,2.74,16740.0,3.37,17425,3.84,17088,3.68,17190.0,3.63,17311.0,3.65,16500,3.44,14499.0,3.29,14453,3.49,14807,3.73,17682,4.73,18192,4.05,18208.0,3.77,18400.0,3.89
18,Lakshadweep,650.0,0.29,700.0,0.23,827.0,0.17,870,0.26,833,0.17,,,,,841,0.5,725.0,0.15,1436,1.98,1211,0.4,1314,0.54,1972,0.54,2198.0,0.45,2303.0,0.5
19,Madhya Pradesh,7494283.0,1831.65,7853625.0,1649.97,8000443.0,1679.08,8260082,1757.94,8329618,1698.24,8452138.0,1737.2,8347904.0,1730.1,8158936,1681.53,7144651.0,1467.32,7642673,1684.92,7568448,1705.95,7987475,1808.34,8080410,1679.85,8137378.0,1682.12,8333799.0,1767.03
20,Maharashtra,9697559.0,2189.06,10520967.0,2282.5,10392774.0,2201.19,9238521,1928.08,10252878,2316.49,10445449.0,2187.87,10126235.0,2059.92,9026775,1889.52,8122854.0,1709.19,8560228,1867.23,8454904,1996.35,8961725,2025.34,9143101,1940.12,9143517.0,1888.54,9260727.0,1961.26
21,Manipur,454134.0,95.16,350676.0,70.78,356367.0,72.3,287288,58.81,277913,56.84,280143.0,61.52,364833.0,105.95,366207,86.95,,,3711,1.72,5871,2.53,104234,70.38,79194,28.01,85932.0,42.79,85965.0,25.6
22,Meghalaya,162524.0,34.67,177153.0,35.82,181428.0,36.81,180845,36.97,191116,40.17,186232.0,38.51,96317.0,19.74,19950,4.86,10864.0,3.04,33388,15.8,55836,32.14,101537,56.83,130649,49.02,150413.0,33.91,182513.0,44.22
23,Mizoram,124448.0,26.55,131990.0,27.05,145311.0,29.99,102195,22.28,104174,21.81,96172.0,20.66,86580.0,18.06,87298,18.46,41699.0,9.32,50743,14.71,55888,19.53,86246,54.93,99140,36.82,110964.0,31.68,123524.0,33.65
24,Nagaland,190781.0,41.31,195927.0,40.68,196710.0,39.97,174708,35.25,196940,44.73,199290.0,42.76,182664.0,37.9,195620,42.45,113538.0,23.13,135346,32.56,118825,29.29,144405,36.46,162277,49.02,171921.0,42.84,185868.0,49.41
25,Odisha,2102663.0,431.14,2277018.0,467.87,2493444.0,559.08,2946616,1056.19,3203303,844.17,3278430.0,769.79,3310686.0,709.86,2154908,450.88,2348557.0,632.3,2693133,698.85,2496882,703.12,2896597,792.82,3058332,737.89,3150678.0,689.02,3492835.0,924.18
26,Puducherry,10198.0,2.2,10635.0,2.27,10344.0,2.1,10251,2.07,10245,2.06,10218.0,2.06,10157.0,2.06,9953,2.01,9119.0,1.83,8316,1.68,8054,1.68,8266,1.94,8182,1.73,8033.0,1.64,8032.0,1.65
27,Punjab,1901762.0,417.89,1904615.0,384.87,1871660.0,374.47,1759992,357.07,1738693,349.17,1713931.0,349.62,1697444.0,340.94,207564,41.87,861015.0,308.69,856693,182.4,497229,152.67,717284,247.63,840274,290.56,926132.0,272.81,1023521.0,327.46
28,Rajasthan,5710243.0,1463.78,6315729.0,1425.43,6641898.0,1432.92,6933839,1600.96,6968492,1468.2,7143603.0,1525.23,7111460.0,1493.29,5672291,1164.1,5389297.0,1136.75,5688854,1283.27,4865932,1179.78,6260727,1641.19,6725726,1525.64,7032027.0,1545.08,7306768.0,1661.37
29,Sikkim,5681.0,2.34,6091.0,1.22,7917.0,1.58,9558,2.36,9754,2.04,9911.0,2.23,9490.0,2.26,11206,4.42,8052.0,1.98,10617,2.84,13945,6.73,20607,9.72,24364,6.4,28104.0,6.66,30515.0,7.17
30,Tamil Nadu,4304758.0,933.64,4408836.0,902.8,3751568.0,756.76,3774706,792.53,3709969,744.82,3673806.0,742.29,3192735.0,707.52,2207417,452.94,2029571.0,414.31,2095323,443.91,2045366,491.39,2150555,503.46,2183435,460.03,2194651.0,455.94,2250180.0,490.42
31,Telangana,3473585.0,748.58,3586323.0,735.54,3574008.0,729.98,3549963,730.54,3593144,793.92,3606996.0,753.59,3553309.0,740.78,3253047,656.34,2984823.0,615.11,2951129,614.59,2871812,664.13,3064930,765.35,3098123,654.66,3077516.0,627.51,3106592.0,649.15
32,Dadra and Nagar Haveli and Daman and Diu,14035.0,2.92,9410.0,1.88,9690.0,1.95,9849,2.11,7561,2.68,11481.0,3.7,12737.0,3.71,12599,2.6,11429.0,2.34,11492,2.42,10346,2.33,11335,3.22,11567,2.56,11587.0,2.44,11691.0,2.46
33,Tripura,199346.0,42.92,210166.0,42.74,219043.0,44.48,212358,43.99,214747,43.71,219098.0,46.24,233210.0,53.59,231362,49.4,219164.0,44.63,221258,45.63,194950,44.57,215284,49.14,225528,55.5,229366.0,47.67,236514.0,50.82
34,Uttar Pradesh,21312145.0,5056.93,21907403.0,4620.65,22816796.0,4754.53,23726074,5517.12,23957522,5058.28,24174417.0,5199.61,24096709.0,5043.46,18227643,3717.19,17427353.0,3693.39,18654256,4249.92,17561389,4181.87,20364793,5376.64,21486114,4830.39,22579461.0,4982.59,23542883.0,5489.68
35,Uttarakhand,767903.0,169.53,833794.0,174.78,849303.0,174.37,836890,174.74,878373,185.8,891441.0,186.58,889330.0,182.19,672735,136.06,720079.0,157.79,759704,168.86,679677,160.88,751027,183.23,786760,177.97,796983.0,168.76,820368.0,180.94
36,West Bengal,,,,,,,2029753,573.53,3584790,980.01,4629277.0,1074.79,4678485.0,1030.14,4444111,928.72,4291039.0,881.48,4472175,1004.2,3980679,909.34,4405643,1140.25,4498404,964.42,4503169.0,931.55,4555495.0,979.03
